,id_answer,id_website,id_subquestion,id_person,answer,spray_number,timestamp,certainty,terms
10,29480,1282,27468,93562,More trees in urban spaces and next to roads to mitigate the effects of pollution,1,2023-08-21 14:06:41,6,pollution
11,29481,1282,27469,93562,On top of some of the fells as I don't think trees would naturally grow there,1,2023-08-21 14:07:50,5,
14,29484,1282,27468,93565,I think the areas where there are already trees. I am unsure where it is considered good/bad for them to be.,1,2023-08-21 14:19:26,2,
17,29487,1282,27468,93566,"More trees anywhere that they can grow, there aren't enough trees.",1,2023-08-21 14:53:47,10,
21,29491,1282,27468,93569,areas where there is farmland? and areas that are near trees but seem to have fewer trees,1,2023-08-21 15:24:27,2,farmland
23,29493,1282,27469,93569,at the top of the hills where trees dont seem to grow. makes it easier to see nice views too,1,2023-08-21 15:26:03,1,
25,29495,1282,27468,93567,There should be more trees in places that have replaced trees with farmland.,1,2023-08-21 15:29:50,3,farmland
26,29496,1282,27469,93567,,1,2023-08-21 15:30:09,1,
29,29499,1282,27468,93570,"Increase of existing forest size, more trees where farmland and human landscapes are. Return to how landscape would have been before human interference.",1,2023-08-21 15:43:33,9,"farmland,interference"
30,29500,1282,27469,93570,Anywhere they aren't naturally existing in mountain areas.,1,2023-08-21 15:44:08,9,
33,29503,1282,27468,93571,MORE TREES GOOD,1,2023-08-21 15:47:54,10,
34,29504,1282,27469,93571,No trees in water,1,2023-08-21 15:48:16,10,
37,29507,1282,27468,93591,"In areas that are built up, it's still nice to have nature nearby, & the benefits of trees go a small way to off-setting some of the damage done by industrialisation. Equally, where there are already areas of trees, it would be nice to see these expanded into more developed areas.",1,2023-08-22 09:39:02,5,"industrialisation,nature"
40,29510,1282,27468,93592,"Increasing the size of existing woodland, allowing the fellside to continue to be grazed as a key part of the cultural heritage of the landscape.",1,2023-08-22 09:46:06,6,heritage
41,29511,1282,27469,93592,Fellside for adequate grazing to maintain cultural heritage.,1,2023-08-22 09:46:59,2,"grazing,heritage"
44,29514,1282,27468,93593,I would love to see more trees in areas that are  farmed so that it creates a richer more biodiverse landscape,1,2023-08-22 10:19:42,10,
47,29517,1282,27468,93595,"Not on top of fells because might not survive conditions, but on slopes and beside water. Fields could be replanted or supplemented with trees.",1,2023-08-22 10:25:50,7,
48,29518,1282,27469,93595,Too high to survive up on the tops of the fells,1,2023-08-22 10:26:23,4,
55,29525,1282,27468,93590,"I'd like to see more in Grasmere itself as it's quite urban compared to surrounding areas, and some large woodland such as to the west would be great",1,2023-08-22 11:38:08,4,
56,29526,1282,27469,93590,I think too many trees around lakes are a bit offputting because it hides the beauty of the lake so keeping it quite open is nice,1,2023-08-22 11:38:48,3,lake
57,29527,1282,27468,93599,I believe it would be good to see more trees around the inhabited areas but also it would be good to have trees wherever they naturally grow within the landscape,1,2023-08-22 11:39:00,6,
60,29530,1282,27468,93601,not many trees up there,1,2023-08-22 11:43:27,2,
61,29531,1282,27469,93601,so you can have a clear view around,1,2023-08-22 11:43:51,10,
65,29535,1282,27469,93600,Prefer natural rugged terrain,1,2023-08-22 11:47:33,6,
67,29537,1282,27469,93604,if im honest as a visitor it's noce to see the lakes so it would be nice for there not to be trees around the lakes also for access but trees interspersed can be valuable too. bit again would liek to research the area more,1,2023-08-22 11:50:47,5,lake
70,29540,1282,27468,93608,we need to reverse the deforestation within these areas,1,2023-08-22 12:20:33,8,
73,29543,1282,27468,93609,MORE TREES PLEASE! ,1,2023-08-22 13:07:07,10,
77,29547,1282,27468,93607,"Places I can walk, without interfering with the local farming",1,2023-08-22 13:19:17,6,farming
78,29548,1282,27469,93607,The Cragg's and the high peaks,1,2023-08-22 13:20:26,6,cragg
80,29550,1282,27468,93611,Tried to follow the existing patterns of trees and extend outwards,1,2023-08-22 13:22:49,4,
83,29553,1282,27469,93616,Open fells,1,2023-08-22 13:42:03,8,
