id_answer,id_website,id_subquestion,id_person,answer,spray_number,timestamp,certainty
29451,1282,27462,93543,"I have selected the fellsides and lakes as natural features excluding much of the lowland of Grasmere which has had perhaps the most human interaction.",1,"2023-08-21 09:39:03",6
29452,1282,27463,93543,"As a resident of the Lake District I value both the natural and human landscape of Grasmere and the surrounding vale for not just the natural beauty and benefits but how the landscape has shaped the generations who have lived and worked here and the sense of community.",1,"2023-08-21 09:53:43",8
29453,1282,27462,93546,"Much of the physical surrounding fells and lake have had less human interaction then the lower vale which has been largely farmed or land used for settlements ",1,"2023-08-21 09:58:19",6
29454,1282,27462,93547,"Grasmere seems natural, Rydal water not, fells natural, some forestry natural",1,"2023-08-21 10:01:44",5
29455,1282,27463,93546,"As a resident of Grasmere I value both the natural beauty of the surrounding fells and lakes, but also the human landscape which by it has shaped the generations of people whom have lived and still live her and the sense of community aas well. ",1,"2023-08-21 10:01:53",8
29456,1282,27463,93547,"Fells and water especially (although obviously roads and modernity necessary to access the aforementioned)",1,"2023-08-21 10:03:02",8
29457,1282,27464,93547,"Trees at riverside and lower lying areas, but not a particular advocate of woodland out of proportion to anything else",1,"2023-08-21 10:04:28",7
29458,1282,27464,93546,"I have selected an area where I think trees are beneficial along the main roads for the ability and potential to soak up CO2 from passing traffic but also the potential for rewilding of flora and fauna. ",1,"2023-08-21 10:10:09",6
29478,1282,27466,93562,"Areas that seem to be untouched by humans",1,"2023-08-21 14:03:49",5
29479,1282,27467,93562,"I think that all of our landscape is valuable and should be cared for",1,"2023-08-21 14:05:31",7
29480,1282,27468,93562,"More trees in urban spaces and next to roads to mitigate the effects of pollution",1,"2023-08-21 14:06:41",6
29481,1282,27469,93562,"On top of some of the fells as I don't think trees would naturally grow there",1,"2023-08-21 14:07:50",5
29482,1282,27466,93565,"These are areas I consider to be on the most part 'natural' (not impacted by human made structures e.g roads/ houses)",1,"2023-08-21 14:11:36",6
29483,1282,27467,93565,"I would perceive everywhere in the landscape as valuable. (in different ways).",1,"2023-08-21 14:16:45",9
29484,1282,27468,93565,"I think the areas where there are already trees. I am unsure where it is considered good/bad for them to be.",1,"2023-08-21 14:19:26",2
29485,1282,27466,93566,"I think anything that is none manmade is natural. ",1,"2023-08-21 14:49:48",10
29486,1282,27467,93566,"Value is subjective, everything has value to someone so all of it should be considered equal. ",1,"2023-08-21 14:51:43",10
29487,1282,27468,93566,"More trees anywhere that they can grow, there aren't enough trees.",1,"2023-08-21 14:53:47",10
29488,1282,27466,93569,"natural formations like lakes and peaks and areas away from villages and roads",1,"2023-08-21 15:19:40",7
29489,1282,27466,93569,"natural formations like lakes and peaks, areas away from villages and roads",3,"2023-08-21 15:21:57",7
29490,1282,27467,93569,"areas that are protected? by national trust etc,",2,"2023-08-21 15:23:09",2
29491,1282,27468,93569,"areas where there is farmland? and areas that are near trees but seem to have fewer trees",1,"2023-08-21 15:24:27",2
29492,1282,27466,93567,"I mapped locations that are less affected by tourism and human interference: peaks, lakes and forest areas away from housing.",1,"2023-08-21 15:26:01",2
29493,1282,27469,93569,"at the top of the hills where trees dont seem to grow. makes it easier to see nice views too",1,"2023-08-21 15:26:03",1
29494,1282,27467,93567,"I mapped locations valuable for humans, so the main places for housing and tourism, farming areas. I mapped forests for their value to biodiversity and nature.",1,"2023-08-21 15:28:41",2
29495,1282,27468,93567,"There should be more trees in places that have replaced trees with farmland.",1,"2023-08-21 15:29:50",3
29496,1282,27469,93567,,1,"2023-08-21 15:30:09",1
29497,1282,27466,93570,"Mountain and lakes, untouched areas. Roads, villages, farmland, and any overly-ordered viewpoints don't feel natural. For example the lake is natural, but the pathways and gates surrounding and guiding visitors are not natural areas to me.",1,"2023-08-21 15:38:47",7
29498,1282,27467,93570,"Spaces of human connection with nature, history and culture. Natural areas away from human interference. Less valuable being tourist-oriented village areas in Grasmere - hotels and souvenir shops.",1,"2023-08-21 15:41:15",6
29499,1282,27468,93570,"Increase of existing forest size, more trees where farmland and human landscapes are. Return to how landscape would have been before human interference.",1,"2023-08-21 15:43:33",9
29500,1282,27469,93570,"Anywhere they aren't naturally existing in mountain areas.",1,"2023-08-21 15:44:08",9
29501,1282,27466,93571,"Natural ?",1,"2023-08-21 15:45:14",10
29502,1282,27467,93571,"It's all good stuff",1,"2023-08-21 15:46:36",10
29503,1282,27468,93571,"MORE TREES GOOD",1,"2023-08-21 15:47:54",10
29504,1282,27469,93571,"No trees in water",1,"2023-08-21 15:48:16",10
29505,1282,27466,93591,"Natural formations (E.g lakes, tarns & mountains) I would consider to be 'ntural",1,"2023-08-22 09:36:40",6
29506,1282,27467,93591,"I think valuable can incorporate natural structures in the landscape, like caves & fells, but also places of interest that have been preserved for their historical significance.",1,"2023-08-22 09:38:06",7
29507,1282,27468,93591,"In areas that are built up, it's still nice to have nature nearby, & the benefits of trees go a small way to off-setting some of the damage done by industrialisation. Equally, where there are already areas of trees, it would be nice to see these expanded into more developed areas.",1,"2023-08-22 09:39:02",5
29508,1282,27466,93592,"I found this difficult as historically the land has always been worked and managed to different degrees, so designating any particular area as natural I found quite challenging. I have chosen the upland areas based on the idea that there have been significantly less, or very little, development of buildings and roads, etc.",1,"2023-08-22 09:44:11",1
29509,1282,27467,93592,"Any spaces that give me the opportunity to enjoy the landscape that I live in.",1,"2023-08-22 09:45:02",8
29510,1282,27468,93592,"Increasing the size of existing woodland, allowing the fellside to continue to be grazed as a key part of the cultural heritage of the landscape.",1,"2023-08-22 09:46:06",6
29511,1282,27469,93592,"Fellside for adequate grazing to maintain cultural heritage.",1,"2023-08-22 09:46:59",2
29512,1282,27466,93593,"I have tried to select areas that I think are not as farmed as much and have been left to grow wildly and naturally. Including the lakes and woodland.",1,"2023-08-22 10:17:30",8
29513,1282,27467,93593," I have tried to highlight areas of culture, social history, community, lake and woodland which I perceive to be valuable for us to enjoy and learn from.",1,"2023-08-22 10:18:31",7
29514,1282,27468,93593,"I would love to see more trees in areas that are  farmed so that it creates a richer more biodiverse landscape",1,"2023-08-22 10:19:42",10
29515,1282,27466,93595,"Less main roads. I have chosen fell-scapes as infrastructural development can't necessarily be completed at these heights. Some forested spots, too.",1,"2023-08-22 10:24:03",6
29516,1282,27467,93595,"Lakes and fell-paths, valuable in regard to tourism and tourist attraction.",1,"2023-08-22 10:24:56",7
29517,1282,27468,93595,"Not on top of fells because might not survive conditions, but on slopes and beside water. Fields could be replanted or supplemented with trees.",1,"2023-08-22 10:25:50",7
29518,1282,27469,93595,"Too high to survive up on the tops of the fells",1,"2023-08-22 10:26:23",4
29519,1282,27466,93589,"dark shading presumably mean higher elevation and there less interfered with",1,"2023-08-22 10:56:24",1
29520,1282,27467,93589,,1,"2023-08-22 10:57:26",1
29521,1282,27466,93590,"I've picked places I think have a lot of nature and are relatively undisturbed",1,"2023-08-22 11:35:41",6
29522,1282,27466,93599,"Based on absence of man-made infrastructure and experience while we have been here.",1,"2023-08-22 11:36:23",6
29523,1282,27467,93590,"Around the lakes especially I think the area is valuable due to natural beauty and the large range of natural plants and animals",1,"2023-08-22 11:37:07",7
29524,1282,27467,93599,"All areas have value to me, however there is intrinsic value which cannot be lost in the landscape itself",1,"2023-08-22 11:37:45",10
29525,1282,27468,93590,"I'd like to see more in Grasmere itself as it's quite urban compared to surrounding areas, and some large woodland such as to the west would be great",1,"2023-08-22 11:38:08",4
29526,1282,27469,93590,"I think too many trees around lakes are a bit offputting because it hides the beauty of the lake so keeping it quite open is nice",1,"2023-08-22 11:38:48",3
29527,1282,27468,93599,"I believe it would be good to see more trees around the inhabited areas but also it would be good to have trees wherever they naturally grow within the landscape",1,"2023-08-22 11:39:00",6
29528,1282,27466,93601,"natural ground and forestry",1,"2023-08-22 11:42:28",10
29529,1282,27467,93601,"Grasmere is an enjoyable place",1,"2023-08-22 11:43:09",8
29530,1282,27468,93601,"not many trees up there",1,"2023-08-22 11:43:27",2
29531,1282,27469,93601,"so you can have a clear view around",1,"2023-08-22 11:43:51",10
29532,1282,27466,93600,"natural habitat away from human intervention",1,"2023-08-22 11:44:54",6
29533,1282,27467,93600,"similar to earlier",1,"2023-08-22 11:46:19",6
29534,1282,27466,93604,"difficult to say but think areas away from roads seem natural to be whihc is not man made including lakes. ",1,"2023-08-22 11:47:07",3
29535,1282,27469,93600,"Prefer natural rugged terrain",1,"2023-08-22 11:47:33",6
29536,1282,27467,93604,"all is valuable in the landscape in grasmere as it offers a lot for different people in different ways",1,"2023-08-22 11:48:22",7
29537,1282,27469,93604,"if im honest as a visitor it's noce to see the lakes so it would be nice for there not to be trees around the lakes also for access but trees interspersed can be valuable too. bit again would liek to research the area more",1,"2023-08-22 11:50:47",5
29538,1282,27466,93608,"areas with no development or human dwelling ",1,"2023-08-22 12:17:21",8
29539,1282,27467,93608,"both developed and none developed areas are valuable, with each helping to drive or compliment the other. the valuable developed areas only being possible thanks to the outstanding natural areas of value",1,"2023-08-22 12:19:43",8
29540,1282,27468,93608,"we need to reverse the deforestation within these areas",1,"2023-08-22 12:20:33",8
29541,1282,27466,93609,"Where does the 'untouched' natural world end and the impact of the Anthropocene begin? What constitutes 'natural' anymore? Everything? Nothing?",1,"2023-08-22 13:00:09",6
29542,1282,27467,93609,"Value in undeveloped, untouched, natural space. To be protected, saved but also shared, collectively owned, by the community, for the community.",1,"2023-08-22 13:04:22",7
29543,1282,27468,93609,"MORE TREES PLEASE! ",1,"2023-08-22 13:07:07",10
29544,1282,27466,93607,"Places I've walked, places I can see from our walks and from the towns",1,"2023-08-22 13:16:46",8
29545,1282,27467,93607,"The places we can walk and enjoy the lakes",1,"2023-08-22 13:18:32",6
29546,1282,27466,93611,"Basically everywhere that isn't civilisation",1,"2023-08-22 13:18:49",4
29547,1282,27468,93607,"Places I can walk, without interfering with the local farming",1,"2023-08-22 13:19:17",6
29548,1282,27469,93607,"The Cragg's and the high peaks",1,"2023-08-22 13:20:26",6
29549,1282,27467,93611,"I think the whole area adds value in different ways",1,"2023-08-22 13:21:17",7
29550,1282,27468,93611,"Tried to follow the existing patterns of trees and extend outwards",1,"2023-08-22 13:22:49",4
29551,1282,27466,93616,"Not sure that the forestry is natural. The lakes I imagine are.",1,"2023-08-22 13:37:39",3
29552,1282,27467,93616,"Lakes, woods and open fells",1,"2023-08-22 13:39:35",7
29553,1282,27469,93616,"Open fells",1,"2023-08-22 13:42:03",8
29554,1282,27466,93617,"Most of the landscape has been extensively deforested and grazed , as well as walls created ; hence my opinion that few areas [ some broad-leaved woodland and the  highest fell tops ] are  'natural'",1,"2023-08-22 14:13:30",9
29555,1282,27467,93617,"I value the various parts of the landscape ,as I enjoy the human and natural elements of it , with  an appreciation for the development of  settlements ; I also really value water and lakes ! ",1,"2023-08-22 14:22:43",9
29556,1282,27466,93615,"i've avoided the village and the farmland I'm aware of, and tried to stay away from paths. I know that rydal caves was a quarry, so I know there was a lot of human activity there. And I know there wasa  neolithic quarry in Langdale so I avoided it. Basically, I assumed where humans wouldn't have interfered too much in the physical (rather than biological) landscape, whether due to accessibility or economics. I'm not very sure about this!",1,"2023-08-22 14:25:40",6
29557,1282,27468,93617,"I would supportre-introduction of broad-leaved /indigenous tree species  in certain areas/valley bottoms/near streams/rivers as a way of boosting wildlife /providing more sheltered habitats ",1,"2023-08-22 14:27:33",7
29558,1282,27467,93615,"i think everywhere in any landscape is valueable. All of it tells a story, whether good or bad. This doesn't mean I don't think there can be changes, but that everything has some kind of value, whether ecological, historical, or social",1,"2023-08-22 14:28:14",10
29559,1282,27468,93615,"I feel the fells seem uncharacteristically bare and I wonder if humans have influenced this. I'd love more wild forests in general, as long as we avoid monocultures.",1,"2023-08-22 14:30:00",4
29560,1282,27466,93638,"Difficult because although can perceive the fells to be natural, they are heavily changed by human activity and agriculture",1,"2023-08-23 09:14:58",6
29561,1282,27466,93637,"Particularly the areas of forest, those that are unaltered by humans",1,"2023-08-23 09:15:29",7
29562,1282,27467,93638,"Economic value of the town, scenic value of the fells/leisure value, agricultural value of the farmland",1,"2023-08-23 09:16:59",6
29563,1282,27467,93637,"Economic value of the town as tourist attraction and for local business, beauty of the natural landscape, importance for grazing animals, plants, vegetation",1,"2023-08-23 09:18:16",8
29564,1282,27468,93638,"Reforesting on the slopes of the fells",1,"2023-08-23 09:18:27",6
29565,1282,27469,93638,"On the highest ground - more difficult to climb/views, a selfish motivation perhaps!",1,"2023-08-23 09:19:30",3
29566,1282,27468,93637,"Trees are important for wildlife, combat impact of deforestation ",1,"2023-08-23 09:19:32",6
29567,1282,27466,93639,,1,"2023-08-23 10:04:15",1
29568,1282,27467,93639,"I think the Lakes and some of the forest should be considered valuable because of their beauty and should be kept that way",1,"2023-08-23 10:05:24",1
29569,1282,27468,93639,"I'm not sure if they are mountainous or not, but I'm all for expanding the forest",1,"2023-08-23 10:06:25",1
29570,1282,27466,93642,"abundance of trees and lack of roads/agriculture",1,"2023-08-23 10:20:12",3
29571,1282,27467,93642,"all is good green space",1,"2023-08-23 10:21:30",8
29572,1282,27469,93642,"Everywhere is good for trees but the town seems to have lots/enough",1,"2023-08-23 10:24:21",9
29573,1282,27466,93648,,1,"2023-08-23 10:37:38",10
29574,1282,27466,93640,"grasmere and surounding area",1,"2023-08-23 10:40:26",10
29575,1282,27468,93640,,1,"2023-08-23 10:42:38",7
29576,1282,27469,93640,,1,"2023-08-23 10:43:12",8
29577,1282,27466,93652,"This is after the influence of the sheep, if you discount this, then perhaps only the lakes are really natural.",1,"2023-08-23 10:56:11",3
29578,1282,27467,93652,"t is all valuable as it is so beautiful and inspiring.",1,"2023-08-23 10:57:32",5
29579,1282,27466,93651,"Scenery which looks dense green + water bodies",1,"2023-08-23 11:49:04",4
29580,1282,27467,93651,"not very certain but it's where the greenery is dense",1,"2023-08-23 11:50:34",2
29581,1282,27466,93654,"The barren spaces seem more natural compared to the concentrated green ones",1,"2023-08-23 11:51:05",6
29582,1282,27467,93654,"I can be of help by planting and increasing greenery anywhere necessary.",1,"2023-08-23 11:52:37",6
29583,1282,27468,93654,"Greenery is always a great for all aspects of the bio system",1,"2023-08-23 11:54:00",7
29584,1282,27467,93663,"i like the fells and their footlpaths most  loughrigg terrace rydal n grasmere lakes raised in amblesied i learned to swim in rydal",1,"2023-08-23 13:23:27",9
29585,1282,27468,93663,"throughout the middle ground.  not by the lakeshores, not on the upper fells",1,"2023-08-23 13:27:34",9
29586,1282,27469,93663,,1,"2023-08-23 13:30:53",9
